"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.308000600E-2,1.131810099E-1,4.304873049E-1,-3.194367588E-1,5.478769055E-1
3.556417300E-2,1.387466043E-1,4.059869349E-1,-3.023930192E-1,5.248976563E-1
3.804834000E-2,1.632469594E-1,3.793561161E-1,-2.789579034E-1,4.983755054E-1
4.053250600E-2,1.877473146E-1,3.548557460E-1,-2.576532364E-1,4.770291866E-1
4.301667300E-2,2.079867423E-1,3.346163332E-1,-2.331528813E-1,4.578065546E-1
4.550084000E-2,2.303566486E-1,3.069202602E-1,-2.075872868E-1,4.362988807E-1
4.797084000E-2,2.484655976E-1,2.898765504E-1,-1.821548492E-1,4.230176790E-1
5.045078700E-2,2.644441128E-1,2.685718834E-1,-1.555240154E-1,4.077367591E-1
5.291584000E-2,2.825530469E-1,2.472672164E-1,-1.288931966E-1,3.969770230E-1
5.538084000E-2,2.985315621E-1,2.366148829E-1,-9.906667471E-2,3.936011972E-1
5.786078700E-2,3.134448230E-1,2.248973250E-1,-6.924014539E-2,3.919447176E-1
6.032084000E-2,3.272928596E-1,2.142449915E-1,-3.728315607E-2,3.929523712E-1
6.280078700E-2,3.422061205E-1,2.153102309E-1,-7.456631400E-3,4.043749816E-1
6.526084000E-2,3.581846058E-1,2.101172209E-1,2.343512699E-2,4.159262718E-1
6.774214200E-2,3.773587942E-1,2.079867423E-1,5.539211631E-2,4.344265543E-1
7.020172500E-2,3.997286856E-1,2.101172209E-1,9.161003679E-2,4.607870088E-1
7.268302700E-2,4.210333526E-1,2.174406946E-1,1.278279573E-1,4.908049779E-1
7.516427700E-2,4.455337226E-1,2.259625494E-1,1.715025157E-1,5.281784591E-1
7.764557900E-2,4.572512805E-1,2.334191799E-1,2.428731322E-1,5.679353885E-1
8.012688100E-2,4.668383598E-1,2.430062890E-1,3.355484009E-1,6.241657152E-1
8.260818300E-2,4.796211720E-1,2.504629195E-1,4.238295853E-1,6.873133638E-1
8.508943300E-2,4.934692085E-1,2.600499988E-1,5.047873259E-1,7.522952252E-1
8.757115200E-2,5.061188340E-1,2.653761804E-1,5.825493336E-1,8.160542368E-1
9.006865200E-2,5.146406889E-1,2.760285139E-1,6.613765359E-1,8.823070335E-1
9.255037100E-2,5.220973492E-1,2.888112962E-1,7.316819429E-1,9.441165566E-1
9.503203700E-2,5.242277980E-1,3.015941083E-1,7.966611385E-1,1.000221356E0
9.751375600E-2,5.295539498E-1,3.111811876E-1,8.573794365E-1,1.054685079E0
9.999547500E-2,5.380758047E-1,3.356815577E-1,9.117063284E-1,1.110592684E0
1.024771940E-1,5.444672108E-1,3.623123765E-1,9.649679661E-1,1.165709216E0
1.049588600E-1,5.625761747E-1,3.963998258E-1,1.019294858E0,1.229872669E0
1.074406310E-1,5.796199441E-1,4.304873049E-1,1.072423339E0,1.292814920E0
1.099243810E-1,6.041202545E-1,4.656399786E-1,1.127815485E0,1.361524748E0
1.124061520E-1,6.328815818E-1,4.933360517E-1,1.184272766E0,1.430531908E0
1.148878710E-1,6.648385525E-1,5.220973492E-1,1.238599658E0,1.499574958E0
1.173696420E-1,6.999912262E-1,5.295539498E-1,1.293991804E0,1.563595182E0
1.198513600E-1,7.468615174E-1,5.274235010E-1,1.349383950E0,1.629973841E0
1.223331310E-1,7.958621979E-1,5.167711973E-1,1.402645588E0,1.693476824E0
1.248149020E-1,8.512543440E-1,4.944012761E-1,1.455907226E0,1.757478998E0
1.272969850E-1,9.087769389E-1,4.496614933E-1,1.502777457E0,1.812846124E0
1.297927150E-1,9.716256857E-1,4.070521593E-1,1.547517300E0,1.872046401E0
1.322747980E-1,1.037670135E0,3.527252972E-1,1.586930871E0,1.928606760E0
1.347568810E-1,1.104779840E0,2.962679267E-1,1.625279307E0,1.987421949E0
1.372389650E-1,1.172821522E0,2.462019771E-1,1.658168316E0,2.045885603E0
1.397211000E-1,1.240996480E0,2.058562785E-1,1.689060092E0,2.106032541E0
1.422031830E-1,1.307040930E0,1.802906841E-1,1.714625716E0,2.163516136E0
1.446853190E-1,1.363498211E0,1.632469594E-1,1.734865189E0,2.212585403E0
1.471682870E-1,1.412498951E0,1.696383655E-1,1.750843644E0,2.255966296E0
1.496834440E-1,1.452977896E0,1.888125539E-1,1.762561202E0,2.292033363E0
1.521664120E-1,1.487065315E0,2.163754553E-1,1.772148252E0,2.323508342E0
1.546493810E-1,1.506239533E0,2.440715134E-1,1.779604912E0,2.344210331E0
1.571323500E-1,1.517957091E0,2.845503688E-1,1.790257215E0,2.364356898E0
1.596152670E-1,1.521152735E0,3.292901516E-1,1.805170536E0,2.383480294E0
1.620982350E-1,1.516891837E0,3.889431953E-1,1.819018483E0,2.400222052E0
1.645811520E-1,1.507304788E0,4.475310147E-1,1.838192701E0,2.418926237E0
1.670645370E-1,1.491326213E0,5.071840882E-1,1.859497428E0,2.437010516E0
1.695651620E-1,1.466825843E0,5.625761747E-1,1.880802035E0,2.450609374E0
1.720485480E-1,1.434868932E0,6.105116606E-1,1.903171897E0,2.460413910E0
1.745319330E-1,1.397585750E0,6.531209946E-1,1.919150472E0,2.462306133E0
1.770153710E-1,1.350715518E0,6.850779653E-1,1.936194181E0,2.458172520E0
1.794987560E-1,1.302780032E0,7.053174376E-1,1.950042248E0,2.448953505E0
1.819821420E-1,1.246322632E0,7.106435895E-1,1.961759806E0,2.430398311E0
1.844655790E-1,1.185604334E0,7.117088437E-1,1.968151212E0,2.405370306E0
1.869483920E-1,1.125951290E0,6.967955232E-1,1.969216347E0,2.372994591E0
1.894087040E-1,1.057909489E0,6.808170676E-1,1.966020703E0,2.334078356E0
1.918915170E-1,9.886693954E-1,6.552514434E-1,1.957498789E0,2.288803866E0
1.943743290E-1,9.247553945E-1,6.211640239E-1,1.950042248E0,2.245814341E0
1.968571420E-1,8.608414531E-1,5.966636539E-1,1.940455079E0,2.205089893E0
